N° voit		t_arrivée	t_passage	duree_attente
1		0		0		0
2		18		18		0
3		23		23		0
4		38		69		31
5		54		72		18
6		78		78		0
7		80		80		0
8		84		84		0
9		98		135		37
10		101		138		37
11		109		141		32
12		115		144		29
13		124		147		23
14		128		150		22
15		135		135		0
16		165		201		36
17		189		204		15
18		199		199		0
19		211		211		0
20		212		212		0
21		221		221		0
22		221		221		0
23		223		223		0
24		224		224		0
25		240		267		27
26		241		270		29
27		246		273		27
28		247		276		29
29		248		279		31
30		316		333		17
31		318		336		18
32		325		339		14
33		343		343		0
34		352		352		0
35		355		355		0
36		365		399		34
37		372		402		30
38		378		405		27
39		414		414		0
40		417		417		0
41		431		465		34
42		438		468		30
43		452		471		19
44		457		474		17
45		479		479		0
46		482		482		0
47		486		486		0
48		502		531		29
49		527		534		7
50		527		537		10
51		556		556		0
52		563		597		34
53		563		600		37
54		565		603		38
55		575		606		31
56		597		597		0
57		601		601		0
58		601		601		0
59		601		601		0
60		607		607		0
61		607		607		0
62		609		609		0
63		644		663		19
64		667		667		0
65		686		686		0
66		689		689		0
67		696		729		33
68		700		732		32
69		714		735		21
70		721		738		17
71		732		732		0
72		739		739		0
73		739		739		0
74		744		744		0
75		770		795		25
76		796		796		0
77		808		808		0
78		811		811		0
79		824		861		37
80		834		864		30
81		838		867		29
82		849		870		21
83		850		873		23
84		855		876		21
85		876		876		0
86		893		927		34
87		897		930		33
88		899		933		34
89		921		936		15
90		925		925		0
91		936		936		0
92		967		993		26
93		975		996		21
94		985		999		14
95		1004		1004		0
